author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Рента;real_estate_agent;https://www.cian.ru/sale/flat/307983948/;Москва;sale;flat;3;9;5;234.8;125000000;Тверской;Краснопролетарская ;7;Новослободская;Ласточкино гнездо
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва;sale;flat;3;24;2;53.2;19570000;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Главстрой;developer;https://www.cian.ru/sale/flat/306076580/;Москва;sale;flat;4;22;2;67.1;28625560;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307770341/;Москва;sale;flat;9;18;4;176.6;98000000;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
ID 111783;homeowner;https://www.cian.ru/sale/flat/307780900/;Москва;sale;flat;5;14;3;104.0;29600000;Коптево; Космонавта Волкова;29К1;Красный Балтиец;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243023/;Москва;sale;flat;9;27;2;69.4;32340400;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308710833/;Москва;sale;flat;3;10;4;180.0;212000000;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Москва;sale;flat;1;5;3;65.1;17500000;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
MR Group;developer;https://www.cian.ru/sale/flat/300287890/;Москва;sale;flat;5;43;2;57.89;29356019;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
ID 95814020;realtor;https://www.cian.ru/sale/flat/308490853/;Москва;sale;flat;12;17;2;71.0;17500000;; Никитина;11к4;Рассказовка;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080996/;Москва;sale;flat;2;6;2;71.56;131670400;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Среда;developer;https://www.cian.ru/sale/flat/304753839/;Москва;sale;flat;12;30;2;56.31;21423871;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
MR Group;developer;https://www.cian.ru/sale/flat/306614015/;Москва;sale;flat;3;28;2;60.6;22803806;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Москва;sale;flat;28;37;4;177.3;215000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Главстрой;developer;https://www.cian.ru/sale/flat/307942375/;Москва;sale;flat;8;13;2;53.25;25432093;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;Даниловский;;;Тульская;Форст ЖК
Tekta Group;developer;https://www.cian.ru/sale/flat/303224289/;Москва;sale;flat;16;34;2;42.4;22349040;Обручевский;;;Воронцовская;Эвер ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/298128369/;Москва;sale;flat;3;6;-1;119.0;63000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Москва;sale;flat;21;23;4;244.1;78000000;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/288460497/;Москва;sale;flat;6;6;4;324.5;250000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва;sale;flat;35;41;3;97.4;95000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
